School ID,Name,Address,,,,
288,"Corpus Christi College, Bateman WA","Murdoch Drive, WA, Bateman, Australia 6149",,,,
297,Taree Christian School,"423 Kolodong Road, NSW, Taree, Australia 2430",,,,
298,"Faith Lutheran College, Redlands (Secondary) QLD","Beverage Rd, QLD, Redlands City, Australia 4164",,,,
299,Wyalkatchem District High School WA,"Honour Av, WA, Wyalkatchem, Australia 6485",,,,
301,"Alesco Learning Centre, Cooks Hill NSW","100 Laman Street, NSW, Cooks Hill, Australia 2300",,,,
302,Billabong High School,"Gordon Street, NSW, Culcairn, Australia 2660",,,,
303,"Carinya Christian School, Tamworth NSW","25 Boronia Drive, NSW, Tamworth, Australia 2340",,,,
304,"Noosa Christian College, Cooroy QLD","20 Cooroy-Belli Creek Road, QLD, Cooroy, Australia 4563",,,,
309,Bundaberg Christian College QLD,"234 Ashfield Road, QLD, Bundaberg, Australia 4670",,,,
310,Karabar Distance Education NSW,"Donald Road, NSW, Queanbeyan, Australia 2620",,,,
311,Wee Waa High School NSW,"Purcell St, NSW, Wee Waa, Australia 2388",,,,
313,Belmont High School NSW,"Pacific Highway, NSW, Belmont, Australia 2280",,,,
316,Tullibigeal Central School NSW,"Kurrajong St, NSW, Tullibigeal, Australia 2669",,,,
319,"Galen College, Wangaratta VIC","College Cres, VIC, Wangaratta, Australia 3677",,,,
320,"St Mary's College, Gunnedah NSW","Bloomfield St, NSW, Gunnedah, Australia 2380",,,,
324,"Camden Haven High School, Laurieton NSW","Valley View Road, NSW, Laurieton, Australia 2443",,,,
327,"St Joseph's Regional College, Port Macquarie NSW","College Drive, NSW, Port Macquarie, Australia 2444",,,,
328,"The King's School, North Parramatta NSW","PO Box 1         Michael eggenhuizen IT, NSW, Parramatta, Australia 2124",,,,
329,"The Forest High School, Frenchs Forest NSW","Frenchs Forest Road, NSW, Frenchs Forest, Australia 2086",,,,
330,"Cecil Andrews Senior High School, Armadale WA","39 Seville Drive, WA, Armadale, Australia 6112",,,,
331,"St Kevin's Primary, Geebung QLD","249 Newman Road, QLD, Geebung, Australia 4034",,,,
332,Derby District High School WA,"10 Anderson Street, WA, Derby, Australia 6728",,,,
333,Rehoboth Christian College (Kenwick Campus) WA,"92 Kenwick Rd, WA, Kenwick, Australia 6107",,,,
335,Woolooware High School NSW,"Woolooware Road North, NSW, Woolooware, Australia 2230",,,,
336,Colyton High School NSW,"Carpenter St, NSW, Colyton, Australia 2760",,,,
339,"The Canberra College (Woden Campus), Phillip ACT","Launceston Street, ACT, Phillip, Australia 2606",,,,
340,"Broughton Anglican College, Campbelltown NSW","PO Box 438, NSW, Campbelltown, Australia 2560",,,,
342,"O'Loughlin Catholic College, Karama NT","Mueller Rd, NT, Karama, Australia 0812",,,,
343,"Erindale College, Wanniassa ACT","McBryde Crescent, ACT, Wanniassa, Australia 2903",,,,
344,Blackwood High School SA,"Seymour Street, SA, Eden Hills, Australia 5050",,,,
345,"St Paul's College, Walla Walla NSW","Klemke Avenue, NSW, Walla Walla, Australia 2659",,,,
347,"York District High School, Daliak WA","Trews Raod, WA, York, Australia 6302",,,,
348,"Belridge Education Support Centre, Beldon WA","Gwendoline Avenue, WA, Beldon, Australia 6027",,,,
349,Dowerin District High School WA,"35 Memorial Avenue, WA, Dowerin, Australia 6461",,,,
350,"Knox Grammar School, Wahroonga NSW","7 Woodville Avenue, NSW, Wahroonga, Australia 2076",,,,
351,"Newman College (Lavalla Campus), Churchlands WA","216 Empire Ave, WA, Churchlands, Australia 6018",,,,
353,Dubbo School of Distance Education NSW,"Myall St, NSW, Dubbo, Australia 2830",,,,
355,"Trinity College, East Perth WA","Trinity Avenue, WA, East Perth, Australia 6004",,,,
356,"Newton Moore Senior High, South Bunbury WA","Hotchin Street, WA, Bunbury, Australia 6230",,,,
357,Heathfield High School SA,"99 Longwood Road, SA, Heathfield, Australia 5153",,,,
358,"St Paul's College, Manly NSW","Darley Road, NSW, Manly, Australia 2095",,,,
359,Kellyville High School NSW,"York Rd, NSW, Kellyville, Australia 2155",,,,
360,Great Lakes College (Tuncurry Junior Campus) NSW,"Northern Parkway, NSW, Tuncurry, Australia 2428",,,,
361,Fraser Coast Anglican College QLD,"Doolong South Road, QLD, Wondunna, Australia 4655",,,,
363,Girrawheen Senior High School WA,"Calvert Way, WA, Girrawheen, Australia 6064",,,,
364,Kangaroo Island Com Edu (Kingscote Campus) SA,"Centenary Avenue, SA, Kingscote, Australia 5223",,,,
366,Brisbane Boys College (Senior) Toowong QLD,"Kensington Terrace, QLD, Toowong, Australia 4066",,,,
367,Aramac State School QLD,"Porter St, QLD, Aramac, Australia 4726",,,,
369,Parade College (Bundoora Campus) VIC,"1436 Plenty Road, VIC, Bundoora, Australia 3083",,,,
370,Geraldton Senior College WA,"Carson Terrace, WA, Geraldton, Australia 6530",,,,
372,"Merici College, Braddon ACT","Wise Street, ACT, Braddon, Australia 2612",,,,
374,Glenunga International High School SA,"99 L'Estrange St, SA, Glenunga, Australia 5064",,,,
376,"Sydney Institute of Tafe, Petersham NSW","Crystal Street, NSW, Petersham, Australia 2049",,,,
379,"St Catherine's Catholic College, Singleton NSW","30-40 Combo Lane, NSW, Singleton, Australia 2330",,,,
380,Toowoomba State High School (Wilsonton Campus) QLD,"275 North St, QLD, Wilsonton, Australia 4351",,,,
381,Trinity College,"Pound Road, VIC, Colac, Australia 3250",,,,
382,"Open Access College, Marden SA","1-37 Marden Rd, SA, Marden, Australia 5070",,,,
383,Geelong Baptist College VIC,"590 Anakie Rd, VIC, Lovely Banks, Australia 3221",,,,
384,"Milpera State High School, Chelmer QLD","2 Parker St, QLD, Chelmer, Australia 4068",,,,
387,"Tuggerah Lakes Secondary, Berkeley Vale Campus NSW","Berkeley Vale Rd, NSW, Berkeley Vale, Australia 2261",,,,
388,Clarkson Community High School WA,"Walyunga Blvde, WA, Clarkson, Australia 6030",,,,
390,"Calvary Christian College, Mount Louisa QLD","569 Bayswater Rd, QLD, Mount Louisa, Australia 4814",,,,
391,"Blue Hills College, Goonellabah NSW","17 Blue Hills Ave, NSW, Goonellabah, Australia 2480",,,,
394,Springwood High School NSW,"PO Box 180, NSW, Springwood, Australia 2776",,,,
424,Nowra Christian School NSW,"194 Old Southern Road, NSW, Nowra, Australia 2541",,,,
425,Bacchus Marsh College VIC,"Grant St, VIC, Bacchus Marsh, Australia 3340",,,,
427,Rossmoyne Senior High School WA,"Keith Road, WA, Rossmoyne, Australia 6148",,,,
428,Goodna State School,"1 Albert Street, QLD, Goodna, Australia 4300",,,,
430,"Tomaree High School, Salamander Bay NSW","Salamander Way, NSW, Salamander Bay, Australia 2317",,,,
434,"Bob Hughes Christian School, Chester Hill NSW","6 - 40 Hector St., NSW, Chester Hill, Australia 2162",,,,
436,Narre Warren South P-12 College VIC,"Amberly Park Drive, VIC, Narewarren South, Australia 3805",,,,
439,Yanco Agricultural High School NSW,"259 Euroly Road, NSW, Yanco, Australia 2703",,,,
440,"International Grammar School, Ultimo NSW","4-8 Kelly Street, NSW, Ultimo, Australia 2007",,,,
441,Albury High School NSW,"Kiewa St, NSW, Albury, Australia 2640",,,,
442,"Aquinas College, Salter Point WA","58 Mount Henry Road, WA, Salter Point, Australia 6152",,,,
443,Georges River College (Penshurst Girls Campus) NSW,"2 Austral St, NSW, Penshurst, Australia 2222",,,,
444,"St Joseph's College, Banora Point NSW","Doyle Dr, NSW, Banora Point, Australia 2486",,,,
445,"MacKillop College, Bathurst NSW","Gormans Hill Road, NSW, Bathurst, Australia 2795",,,,
446,Dulwich High School of Visual Arts and Design NSW,"Seaview St, NSW, Dulwich Hill, Australia 2203",,,,
448,"Emmanuel College, Carrara QLD","Birmingham Road, QLD, Carrara, Australia 4211",,,,
449,"Trinity Grammar School, Summer Hill NSW","Prospect Rd, NSW, Summer Hill, Australia 2040",,,,
451,Cherrybrook Technology High School NSW,"28-44 Purchase Rd, NSW, Cherrybrook, Australia 2126",,,,
452,Gorokan High School,"PO Box 207, NSW, Toukley, Australia 2263",,,,
453,"Brooks High School, Mowbray TAS","215 George Town Road, TAS, Rocherlea, Australia 7248",,,,
455,Woolgoolga High School NSW,"Centenary Drive, NSW, Woolgoolga, Australia 2456",,,,
456,Great Lakes College (Tuncurry Senior Campus) NSW,"Great Lakes College, NSW, Forster, Australia 2428",,,,
457,"Wollumbin High School, Murwillumbah NSW","North Arm Rd, NSW, Murwillumbah, Australia 2484",,,,
460,Western Heights Secondary College (Minerva) VIC,"Minerva Rd, VIC, Herne Hill, Australia 3218",,,,
463,St Francis Xavier College (Berwick Campus) VIC,"75 Ridgemont Dr, VIC, Berwick, Australia 3806",,,,
464,Ku-Ring-Gai Creative Arts High School NSW,"Bobbin Head Road, NSW, North Turramurra, Australia 2074",,,,
466,Keira Technology High School,"Lysaght St, NSW, Fairy Meadow, Australia 2519",,,,
468,Beverly Hills Intensive English Centre,"Melvin Street North, NSW, Beverly Hills, Australia 2209",,,,
469,Cessnock High School NSW,"Aberdare Rd, NSW, Cessnock, Australia 2325",,,,
471,"Foundation Christian College, Greenfields WA","Lakes Road, WA, Mandurah, Australia 6210",,,,
474,Bonnet Bay Public School NSW,"Tudar Road Bonnet Bay, NSW, Bonnet Bay, Australia 2226",,,,
476,Rockhampton State High School QLD,"Campbell St, QLD, Rockhampton, Australia 4700",,,,
477,"Karabar High School, Queanbeyan NSW","Donald Rd, NSW, Queanbeyan, Australia 2620",,,,
478,"Macarthur Anglican School, Cobbitty NSW","PO Box 435, NSW, Camden, Australia 2570",,,,
480,"Centenary State High School, Jindalee QLD","Moolanda Street, QLD, Jindalee, Australia 4074",,,,
482,"Genesis Christian College, Bray Park QLD","10 Youngs Crossing Road, QLD, Bray Park, Australia 4500",,,,
483,Robinvale P-12 College VIC,"PO Box 355, VIC, Robinvale, Australia 3549",,,,
484,Canowindra High School NSW,"Brown\'s Ave, NSW, Canowindra, Australia 2804",,,,
486,Wadalba Community Primary NSW,"Orchid Way, NSW, Wadalba, Australia 2257",,,,
487,Boorowa Central School NSW,"2023 Rugby Rd, NSW, Boorowa, Australia 2586",,,,
488,Albion Park High School NSW,"PO Box 345, NSW, Albion Park, Australia 2527",,,,
489,"Edmund Rice College, West Wollongong NSW","112 Mt Keira Road, NSW, West Wollongong, Australia 2500",,,,
